epoch,avg_loss,auc,pr_auc,ap,fpr,tpr,th_targ
1,0.95757204,,,,,,
2,0.7607054,0.7367555383380636,0.18442009315762145,0.18459484014325606,0.16384855115708508,0.5000711608710091,0.536894679069519
3,0.5704711,,,,,,
4,0.4790081,0.7406471823745842,0.19089887351485577,0.1910818879112209,0.16801526658007543,0.5000593007258409,0.675320029258728
5,0.42722538,,,,,,
6,0.39042187,0.7391560940423374,0.1882344011268987,0.18841848482375048,0.17669096681839636,0.5000474405806727,0.7389324307441711
7,0.3604654,,,,,,
8,0.3351849,0.7379652311406236,0.1863085367377544,0.1864924456578011,0.17850860256575277,0.4999525594193273,0.7793976068496704
9,0.3136291,,,,,,
10,0.29447877,0.7364140028696055,0.18496710931911178,0.18517271153519085,0.18004930239452058,0.5,0.8133150339126587
11,0.27715945,,,,,,
12,0.26108816,0.7353814986753353,0.18390383384938733,0.18404866157638303,0.18314532894916472,0.49972721666113196,0.8347077965736389
13,0.24612086,,,,,,
14,0.23289175,0.734044262623741,0.18180257795201205,0.1819752995537708,0.18711799420384823,0.4999881398548318,0.8272928595542908
15,0.22029732,,,,,,
16,0.20914833,0.7332028602731151,0.1797833434376252,0.17978316464792246,0.18832520077854098,0.49991697898382276,0.828851580619812
17,0.19767918,,,,,,
18,0.18766375,0.7323071149877833,0.17761877290728345,0.17719443777744517,0.18970988037148417,0.49996441956449544,0.829931914806366
19,0.17833251,,,,,,
20,0.17010564,0.7332978448730865,0.17714410358655466,0.17648946288012324,0.1908566291047949,0.5000593007258409,0.8450250029563904
21,0.16304886,,,,,,
22,0.15626658,0.7351565739738762,0.17732630147898493,0.1762012051629862,0.18740955701954543,0.5000474405806727,0.872450590133667
23,0.15039897,,,,,,
24,0.14522083,0.7358769533172246,0.17762560166136782,0.1752841799840263,0.18589030997320352,0.49992883912899094,0.8860147595405579
25,0.1400454,,,,,,
26,0.13501707,0.7350341703662624,0.17746220597528414,0.17366528751561006,0.18823451401646793,0.5000711608710091,0.8984969854354858
27,0.13121475,,,,,,
28,0.1276489,0.734721848630371,0.17791744715048496,0.1725733442256089,0.18671331671717822,0.49997627970966363,0.9116799831390381
29,0.1246309,,,,,,
30,0.122068256,0.7341403746862305,0.1794524453977137,0.17200860338295682,0.1882559667988938,0.5,0.9072571992874146
31,0.119894445,,,,,,
