epoch,avg_loss,auc,pr_auc,ap,fpr,tpr,th_targ
1,1.0013839,,,,,,
2,1.0013454,0.4405833606313696,0.06404993032970832,0.06407909581047933,0.5879963881315406,0.4999881398548318,0.4795181453227997
3,1.0013069,,,,,,
4,1.0012685,0.4425721820309097,0.06435218371861415,0.06438206873867205,0.5856248805470069,0.4999881398548318,0.4794958233833313
5,1.0012302,,,,,,
6,1.0011925,0.44455843291583114,0.06465883087053209,0.06468951009640964,0.5832104673976215,0.49994069927415913,0.47946563363075256
7,1.0011548,,,,,,
8,1.0011173,0.4465573008150434,0.06497005790915579,0.06500132181930654,0.5799340424453051,0.49994069927415913,0.47944995760917664
9,1.0010805,,,,,,
10,1.0010434,0.44854728104176567,0.06528202574432773,0.06531354402728305,0.5770505934619721,0.5000948811613454,0.4794265031814575
11,1.0010065,,,,,,
12,1.0009695,0.45053751061293945,0.06559849009454921,0.06563080867477247,0.573852178627568,0.5000948811613454,0.4794095754623413
13,1.0009323,,,,,,
14,1.0008953,0.4525470941246529,0.06592072069346175,0.06595383349847378,0.5712778447364624,0.5000948811613454,0.4793908894062042
15,1.0008582,,,,,,
16,1.000821,0.4545627009471214,0.0662463255806169,0.06628008659741091,0.569155969529248,0.5000948811613454,0.47935429215431213
17,1.0007836,,,,,,
18,1.0007463,0.4565835837871596,0.06657657677118675,0.06661101376417744,0.5647874029261595,0.5000948811613454,0.47936534881591797
19,1.0007088,,,,,,
20,1.0006713,0.45860209318259065,0.06691073055378245,0.06694611934605091,0.5601545770486432,0.5000830210161772,0.4793725907802582
21,1.0006343,,,,,,
22,1.0005975,0.4606257375933857,0.06724837307828174,0.06728422334812822,0.5575802431575375,0.5000830210161772,0.4793526530265808
23,1.0005609,,,,,,
24,1.0005244,0.46264696479707834,0.06759060646612586,0.06762734676559036,0.5539137676156598,0.5000830210161772,0.47934627532958984
25,1.0004882,,,,,,
26,1.0004519,0.4646734378564513,0.06793909159297047,0.06797702465457077,0.5512146175358944,0.5000830210161772,0.4793185293674469
27,1.0004159,,,,,,
28,1.0003799,0.46671943463264154,0.0682936363805228,0.0683325721607689,0.5484842634089642,0.5000830210161772,0.4792889952659607
29,1.0003437,,,,,,
30,1.0003074,0.46876261395531105,0.06865329757870606,0.06869288116361012,0.5453638586924724,0.5000830210161772,0.4792754054069519
31,1.0002712,,,,,,
32,1.000235,0.47079297688064936,0.06901433004536765,0.06905464941936623,0.5423370661174755,0.5000830210161772,0.4792620539665222
33,1.0001988,,,,,,
34,1.0001626,0.4728333741853917,0.06938128277756599,0.069422467666954,0.5397939362735347,0.5000830210161772,0.47922414541244507
35,1.000126,,,,,,
36,1.0000893,0.47489296944004444,0.06975590926301237,0.0697977040260358,0.5374224286890009,0.5000830210161772,0.47918784618377686
37,1.0000525,,,,,,
38,1.0000156,0.4769521898915903,0.07013374157370418,0.07017629430082134,0.5340543418481377,0.5000593007258409,0.4791760742664337
39,0.9999788,,,,,,
40,0.99994206,0.4790143852676241,0.07051914410323613,0.07056236233615779,0.5302523237263873,0.5,0.4791732430458069
41,0.9999051,,,,,,
42,0.99986833,0.4810700111806589,0.07090579122897651,0.07094979511992151,0.5264785842723801,0.49997627970966363,0.4791701138019562
43,0.9998316,,,,,,
44,0.999795,0.48312389871413874,0.07129721663640175,0.07134277715424513,0.5229564274486401,0.49992883912899094,0.4791542887687683
45,0.9997583,,,,,,
46,0.9997215,0.48518924517489664,0.07169570263027489,0.07174154895729866,0.5194459721425869,0.49992883912899094,0.4791470766067505
47,0.99968475,,,,,,
48,0.999648,0.48725087228613595,0.07209919209667733,0.07214613696347957,0.5170276584873058,0.49992883912899094,0.4791199862957001
49,0.9996116,,,,,,
50,0.9995754,0.4893072505810184,0.07250724885421367,0.07255516206062129,0.5132373418832422,0.49991697898382276,0.4791119396686554
51,0.9995392,,,,,,
52,0.99950296,0.49135547332313095,0.07291985718948986,0.07296896406842787,0.5102573553789926,0.49991697898382276,0.4790877401828766
53,0.9994667,,,,,,
54,0.99943054,0.4933921051103096,0.07333399063441894,0.07338376694670024,0.5079950619595361,0.49991697898382276,0.47905218601226807
55,0.99939436,,,,,,
56,0.99935806,0.4954284825568956,0.07375502110664266,0.07380590815701162,0.5049594932462741,0.5000237202903364,0.4790354371070862
57,0.9993218,,,,,,
58,0.99928534,0.49745694500565524,0.07417883783610373,0.07423081664142231,0.503118454463544,0.5000237202903364,0.4789941906929016
59,0.99924886,,,,,,
60,0.9992122,0.49949287039398876,0.07460809730502124,0.07466095542741676,0.499716238196094,0.5000355804355046,0.47898566722869873
61,0.99917555,,,,,,
62,0.9991387,0.5015311034444042,0.07504260696540427,0.07509628860558704,0.4965490274088549,0.5000355804355046,0.4789664149284363
63,0.9991017,,,,,,
64,0.9990645,0.5035823576414166,0.07548616199466808,0.0755407349287637,0.4930853781735491,0.5000355804355046,0.4789457321166992
65,0.9990271,,,,,,
66,0.9989897,0.5056381405628128,0.07593569085298135,0.0759912868066812,0.4894969127495836,0.5000355804355046,0.47893577814102173
67,0.99895227,,,,,,
68,0.99891496,0.5076788864871815,0.07638537526607678,0.07644183483432858,0.4871566092122148,0.5000355804355046,0.47890278697013855
69,0.99887717,,,,,,
70,0.9988395,0.5097269198385361,0.0768447882631012,0.07690199247736562,0.48386458223631607,0.5000355804355046,0.47888273000717163
71,0.99880165,,,,,,
72,0.9987638,0.5117573029334813,0.07730505849913981,0.0773630000568239,0.48037752996563654,0.49994069927415913,0.4788643717765808
73,0.99872583,,,,,,
74,0.99868774,0.5137874989506971,0.07777232384707025,0.0778310482335587,0.4774755535792992,0.49994069927415913,0.4788411855697632
75,0.99864966,,,,,,
76,0.9986115,0.5158245379233789,0.07824602912781933,0.07830559706139079,0.47635220788136223,0.49994069927415913,0.47878527641296387
77,0.99857336,,,,,,
78,0.99853534,0.5178563091128721,0.07872718500332791,0.07878792801176043,0.473479485289242,0.49996441956449544,0.47876325249671936
79,0.99849725,,,,,,
80,0.99845916,0.5198808113796058,0.07921339099286102,0.07927471465092949,0.4721923183436892,0.5000593007258409,0.4787095785140991
81,0.9984209,,,,,,
82,0.9983825,0.5218995111835273,0.07970660182178238,0.07976903103988123,0.46880960460571736,0.5000237202903364,0.4786910116672516
83,0.9983437,,,,,,
84,0.9983052,0.5239207061898659,0.08020974004464863,0.0802735073515131,0.46590762821938003,0.5000237202903364,0.478667289018631
85,0.9982666,,,,,,
86,0.998228,0.5259229920972688,0.08071197933917579,0.080776553870416,0.46316752282771073,0.4999525594193273,0.4786458909511566
87,0.99818933,,,,,,
88,0.9981506,0.5279173938163827,0.08122024678035628,0.0812861986408657,0.4604683727479454,0.4999525594193273,0.4786227345466614
89,0.9981118,,,,,,
90,0.9980732,0.5299063195797601,0.08172782762783938,0.08179467156918245,0.45706713160696943,0.4999525594193273,0.4786076545715332
91,0.99803436,,,,,,
92,0.9979956,0.5318964173083203,0.08224223693689107,0.08230983821470605,0.45460786263978437,0.5000711608710091,0.47858726978302
93,0.9979567,,,,,,
94,0.99791753,0.5338782314348632,0.0827627221677002,0.08283142305525885,0.4524089524411316,0.5000593007258409,0.4785569906234741
95,0.9978785,,,,,,
96,0.99783915,0.5358594574970892,0.0832919588972661,0.08336126326380841,0.4497410064085312,0.5000593007258409,0.478532075881958
97,0.9977998,,,,,,
98,0.9977603,0.537844180673074,0.0838261240780973,0.08389612514718514,0.4462539541378517,0.49996441956449544,0.47852256894111633
99,0.9977211,,,,,,
100,0.9976818,0.5398174833180508,0.08436992424518475,0.0844412922647678,0.44413987994242854,0.5000593007258409,0.47849079966545105
