epoch,avg_loss,test_roc_auc,test_pr_auc,test_ap
1,1.0003234,,,
2,1.0002868,0.5198354046909845,0.08762567499778254,0.08778191613685056
3,1.0002508,,,
4,1.000215,0.5220655336014017,0.08824332263757759,0.08840029291735635
5,1.0001798,,,
6,1.0001446,0.5242610768172683,0.08885614545396867,0.08901465335011641
7,1.0001092,,,
8,1.0000741,0.5264349873896278,0.08944914753095126,0.08960777084667426
9,1.0000392,,,
10,1.0000048,0.5285803450153473,0.09005682042486553,0.09021658252262348
11,0.99997026,,,
12,0.99993616,0.5306928423731128,0.09066162766153787,0.09082233564142894
13,0.9999022,,,
14,0.9998684,0.5327796507758885,0.09126926402955449,0.0914327775006345
15,0.9998349,,,
16,0.9998017,0.5348291262541323,0.09184773261969582,0.09201238843265046
17,0.9997684,,,
18,0.99973536,0.536852159192764,0.09243686176189453,0.09260227614883935
19,0.9997022,,,
20,0.9996695,0.5388285231769663,0.09301687005299535,0.09318306872813625
21,0.9996368,,,
22,0.99960434,0.5407887760863164,0.09358927150455508,0.09375640118442452
23,0.9995716,,,
24,0.9995388,0.5427371115336568,0.09417351049518147,0.09434135249020362
25,0.9995062,,,
26,0.99947363,0.5446611381637381,0.09476198666584859,0.09493080133650499
27,0.99944115,,,
28,0.9994088,0.5465561685784348,0.09532127903942166,0.0954903642918021
29,0.99937636,,,
30,0.99934417,0.548425570917047,0.09587935948355389,0.09604929539831386
31,0.9993118,,,
32,0.99927956,0.5502717680304664,0.09643550938885062,0.09660775795822017
33,0.9992472,,,
34,0.9992153,0.5520993456360944,0.09698240442017426,0.09715301530186818
35,0.9991834,,,
36,0.99915177,0.5539115993366637,0.09752845247630253,0.097699585488725
37,0.9991205,,,
38,0.9990893,0.5556964911151291,0.09807044178502675,0.0982427147647714
39,0.9990585,,,
40,0.9990277,0.5574511515210936,0.09860042951285958,0.09877258186857882
41,0.99899703,,,
42,0.9989666,0.5591736977495146,0.09913157150865659,0.0993042374319254
43,0.99893624,,,
44,0.9989061,0.5608838863003787,0.09964507531900325,0.09981802774982458
45,0.99887604,,,
46,0.998846,0.562564942444751,0.1001715679842331,0.1003449730952904
47,0.9988159,,,
48,0.9987856,0.5642377592122073,0.10068213794703293,0.1008561423862937
49,0.99875534,,,
50,0.9987248,0.5658971260901398,0.10120208460259589,0.10137646077387386
51,0.99869436,,,
52,0.9986637,0.5675392770058577,0.10170409071068796,0.1018786908058961
53,0.998633,,,
54,0.9986021,0.569158345194362,0.10222482547273527,0.10239965908144141
55,0.99857134,,,
56,0.9985408,0.5707599306822276,0.10272365685958355,0.10289876324975822
57,0.9985102,,,
58,0.9984796,0.5723539415575127,0.10323882145658206,0.1034143864343345
59,0.998449,,,
60,0.9984186,0.5739168683855416,0.10372752471191629,0.10390369749452806
61,0.99838835,,,
62,0.99835813,0.5754641186179552,0.10420231091020074,0.10437848715518372
63,0.99832803,,,
64,0.9982979,0.576979485698093,0.1046846647789928,0.10486109729121618
65,0.9982681,,,
66,0.9982381,0.5784958402562757,0.10517616942825952,0.10535317445682145
67,0.9982081,,,
68,0.99817824,0.5799856568855588,0.10564667331396024,0.10582382649402433
69,0.99814856,,,
70,0.998119,0.5814556941621362,0.10610824871443143,0.10628580501978618
71,0.9980894,,,
72,0.99805987,0.5829115176947213,0.10657533234283072,0.10675272643030183
73,0.9980303,,,
74,0.99800134,0.5843411284176656,0.10702796392578688,0.10720553966070423
75,0.99797225,,,
76,0.99794304,0.5857609775135043,0.10748448954723065,0.10766254385230416
77,0.99791366,,,
78,0.99788445,0.5871762890954514,0.10794135469230554,0.10811963718704526
79,0.9978551,,,
80,0.99782586,0.5885780667786864,0.10838866594415654,0.10856678086460372
81,0.99779665,,,
82,0.9977675,0.5899679378248843,0.10882449510939304,0.10900274670409321
83,0.99773824,,,
84,0.9977093,0.5913420456756873,0.10926622875934991,0.10944455667936297
85,0.99768037,,,
86,0.99765116,0.5927033744151753,0.10972122488680783,0.10990003080614945
87,0.99762225,,,
88,0.997593,0.5940504653551768,0.11015865637140046,0.1103377318581968
89,0.99756384,,,
90,0.9975345,0.5953871163956515,0.11074869946896727,0.11088078614924299
91,0.9975052,,,
92,0.99747574,0.596711341848058,0.11117546542081735,0.11130763177030227
93,0.9974466,,,
94,0.9974174,0.5980074418939769,0.11159788050652325,0.11173051347343935
95,0.99738836,,,
96,0.99735934,0.5992861774812641,0.11188312932660814,0.11206280993134562
97,0.9973302,,,
98,0.9973011,0.6005492919856156,0.11231761650424466,0.11249746820042461
99,0.9972722,,,
100,0.99724334,0.6017963097558903,0.11273067356724972,0.11291036901875227
